"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_real_CivSedanDoors_BackRight1","Rear right door of the GAZ-24 Volga sedan. Keeps the passenger in the backseat safe inside the vehicle.","Rear right door of the GAZ-24 Volga sedan. Keeps the passenger in the backseat safe inside the vehicle.","Pravé zadní dveře sedanu GAZ-24 Volga. Chrání spolujezdce na zadním sedadle uvnitř vozu.","Rechte Hintertür der GAZ-24 Volga-Limousine. Verhindert, dass Passagiere auf der Rückbank aus dem Wagen fallen.","Задняя правая дверь седана ГАЗ-24 Волга. Обеспечивает безопасность пассажиров на заднем сиденье.","Tylne prawe drzwi od sedana GAZ-24 Volga. Dzięki nim pasażer z tyłu będzie bezpieczny.","Rear right door of the GAZ-24 Volga sedan. Keeps the passenger in the backseat safe inside the vehicle.","La portiera posteriore destra della berlina GAZ-24 Volga. Mantiene il passeggero seduto sul sedile posteriore al sicuro all’interno del veicolo.","Puerta derecha trasera de la berlina GAZ-24 Volga. Mantiene a los pasajeros del asiento de atrás a salvo dentro del vehículo.","Une portière arrière droite pour berline GAZ-24 Volga. Permet de protéger le passager arrière à droite.","GAZ-24 Volga 四門客車的右後門。使後座乘客安全的坐在車內。","GAZ-24 Volga セダンの右後ろのドア。後部席の人も安全に乗れる。","Porta traseira direita do GAZ-24 Volga sedã. Mantém o passageiro no banco de trás seguro dentro do veículo.","GAZ-24 Volga 轿车右后车门。确保车内后座乘客的安全。",
"STR_real_CivSedanHood0","GAZ-24 Volga Hood","GAZ-24 Volga Hood","Kapota GAZ-24 Volga","GAZ-24 Volga Motorhaube","Капот ГАЗ-24 Волга","Maska od GAZ-24 Volga","GAZ-24 Volga Hood","Cofano GAZ-24 Volga","Capó de GAZ-24 Volga","Capot de GAZ-24 Volga","GAZ-24 Volga 引擎蓋","GAZ-24 Volga ボンネット","Capô GAZ-24 Volga","GAZ-24 Volga 引擎盖",
"STR_real_CivSedanHood1","Hood of the GAZ-24 Volga sedan. Helps protect the engine and other sensitive car parts.","Hood of the GAZ-24 Volga sedan. Helps protect the engine and other sensitive car parts.","Kapota sedanu GAZ-24 Volga. Chrání motor a další citlivé součástky auta.","Motorhaube der GAZ-24 Volga-Limousine. Schützt den Motor und andere empfindliche Wagenteile.","Капот седана ГАЗ-24 Волга. Помогает защитить двигатель и другие важные детали автомобиля.","Maska od sedana GAZ-24 Volga. Chroni silnik i inne delikatne części samochodu.","Hood of the GAZ-24 Volga sedan. Helps protect the engine and other sensitive car parts.","Il cofano della berlina GAZ-24 Volga. Aiuta a proteggere il motore e altri componenti delicati dell’automobile.","Capó de la berlina GAZ-24 Volga. Ayuda a proteger el motor y otras partes importantes del coche.","Un capot pour berline GAZ-24 Volga. Protège le moteur et les pièces essentielles du véhicule.","GAZ-24 Volga 四門課車的引擎蓋。保護引擎與其他脆弱零件。","GAZ-24 Volga セダンのボンネット。エンジンやその他の繊細な車のパーツを保護してくれる。","Capô do GAZ-24 Volga sedã. Ajuda a proteger o motor e outras peças sensíveis do carro.","GAZ-24 Volga 轿车的引擎盖。可帮助保护发动机和其他敏感的汽车部件。",
"STR_real_CivSedanTrunk0","GAZ-24 Volga Trunk Lid","GAZ-24 Volga Trunk Lid","Dveře od kufru GAZ-24 Volga","GAZ-24 Volga-Kofferraumklappe","Крышка багажника ГАЗ-24 Волга","Klapa bagażnika od GAZ-24 Volga","GAZ-24 Volga Trunk Lid","Cofano posteriore GAZ-24 Volga","Maletero de GAZ-24 Volga","Coffre de GAZ-24 Volga","GAZ-24 Volga 車廂蓋","GAZ-24 Volga トランクリッド","Tampa de porta-malas GAZ-24 Volga","GAZ-24 Volga 后备箱盖",
"STR_real_CivSedanTrunk1","Trunk lid of the GAZ-24 Volga sedan. Used for keeping trunk contents closed.","Trunk lid of the GAZ-24 Volga sedan. Used for keeping trunk contents closed.","Dveře od kufru sedanu GAZ-24 Volga. Používá se k uzavření nákladu v kufru.","Kofferraumklappe der GAZ-24 Volga-Limousine. Schützt den Inhalt des Kofferraums.","Крышка багажника седана ГАЗ-24 Волга. Не дает содержимому багажника выпасть.","Klapa bagażnika od sedana GAZ-24 Volga. Dzięki niej zawartość bagażnika pozostaje w bagażniku.","Trunk lid of the GAZ-24 Volga sedan. Used for keeping trunk contents closed.","Il cofano posteriore della berlina GAZ-24 Volga. Utilizzato per mantenere al sicuro il contenuto del portabagagli.","Puerta del maletero de la berlina GAZ-24 Volga. Se usa para guardar el contenido del maletero.","Un coffre pour berline GAZ-24 Volga. Permet de fermer le coffre et d'en protéger le contenu.","GAZ-24 Volga 四門客車的車廂蓋。鎖住車廂內的物品。","GAZ-24 Volga セダンのトランクリッド。トランクに入れた物が飛び出さないように使用される。","Tampa de porta-malas do GAZ-24 Volga sedã. Usada para manter o conteúdo do porta-malas fechado.","GAZ-24 Volga 轿车的后备箱盖。用于关住后备箱装的东西。",
"STR_real_CivHatchback0","Volkswagen Golf II","Volkswagen Golf II","Volkswagen Golf II","Volkswagen Golf II","Volkswagen Golf II","Volkswagen Golf II","Volkswagen Golf II","Volkswagen Golf II","Volkswagen Golf II","Volkswagen Golf II","Volkswagen Golf II","Volkswagen Golf II","Volkswagen Golf II","Volkswagen Golf II",
"STR_real_CivHatchbackWheel0","Volkswagen Golf II Wheel","Volkswagen Golf II Wheel","Kolo Volkswagen Golf II","Volkswagen Golf II-Reifen","Колесо Volkswagen Golf II","Koło od Volkswagen Golf II","Volkswagen Golf II Wheel","Ruota Volkswagen Golf II","Rueda de Volkswagen Golf II","Roue de Volkswagen Golf II","Volkswagen Golf II 輪胎","Volkswagen Golf II 車輪","Roda Volkswagen Golf II","Volkswagen Golf II 车轮",
"STR_real_CivHatchbackWheel1","Wheel of the Volkswagen Golf II hatchback. Tire pattern is designed for high performance on normal road surfaces.","Wheel of the Volkswagen Golf II hatchback. Tire pattern is designed for high performance on normal road surfaces.","Kolo hatchbacku Volkswagen Golf II. Vzorek pneumatiky je navržen k vysokým rychlostem na běžném povrchu vozovky.","Ein Reifen für die Volkswagen Golf II-Kombilimousine. Das Reifenprofil ist für gewöhnliche Straßenbeläge optimiert.","Колесо хэтчбека Volkswagen Golf II. Рисунок протектора обеспечивает высокую маневренность на нормальных дорожных покрытиях.","Koło hatchbacka Volkswagen Golf II. Wzór bieżnika usprawnia jazdę po normalnych drogach.","Wheel of the Volkswagen Golf II hatchback. Tire pattern is designed for high performance on normal road surfaces.","Una ruota della due volumi Volkswagen Golf II. Pneumatico con battistrada concepito per offrire prestazioni elevate su strade normali.","Rueda para el Volkswagen Golf II. El patrón de la rueda está diseñado para ofrecer un gran rendimiento en superficies normales.","Une roue pour berline à hayon Volkswagen Golf II. Le pneu offre de très bonnes performances sur route.","Volkswagen Golf II 掀背車的輪胎。輪胎紋路是專為一般路面所設計，性能優異。","Volkswagen Golf II ハッチバックの車輪。タイヤの模様は普通の道路で高性能を見せるようにデザインされている。","Roda do hatchback Volkswagen Golf II. O padrão dos pneus é projetado para alto desempenho em superfícies normais de estrada.","Volkswagen Golf II 掀背车的车轮。轮胎花纹设计可确保在普通道路路面上保持高性能。",
"STR_real_CivHatchbackDoors_Driver0","Volkswagen Golf II Front Left Door","Volkswagen Golf II Front Left Door","Levé přední dveře Volkswagen Golf II","Volkswagen Golf II Tür vorne links","Передняя левая дверь Volkswagen Golf II","Przednie lewe drzwi od Volkswagen Golf II","Volkswagen Golf II Front Left Door","Portiera anteriore sinistra Volkswagen Golf II","Puerta izquierda delantera de Volkswagen Golf II","Portière AVG de Volkswagen Golf II","Volkswagen Golf II 左前門","Volkswagen Golf II 左前のドア","Porta dianteira esquerda Volkswagen Golf II","Volkswagen Golf II 左前车门",
"STR_real_CivHatchbackDoors_Driver1","Front left door of the Volkswagen Golf II hatchback. Keeps driver safe inside vehicle.","Front left door of the Volkswagen Golf II hatchback. Keeps driver safe inside vehicle.","Levé přední dveře hatchbacku Volkswagen Golf II. Zajišťují bezpečnost řidiče uvnitř auta.","Linke Vordertür der Volkswagen Golf II-Kombilimousine. Verhindert, dass der Fahrer aus dem Wagen fällt.","Передняя левая дверь хэтчбека Volkswagen Golf II. Обеспечивает безопасность водителя внутри автомобиля.","Przednie lewe drzwi od hatchbacka Volkswagen Golf II. Dzięki nim kierowca będzie bezpieczny.","Front left door of the Volkswagen Golf II hatchback. Keeps driver safe inside vehicle.","La portiera anteriore sinistra della due volumi Volkswagen Golf II. Mantiene il pilota al sicuro all’interno del veicolo.","Puerta izquierda delantera del Volkswagen Golf II. Mantiene al piloto a salvo dentro del vehículo.","Une portière avant gauche pour la berline à hayon Volkswagen Golf II. Permet de protéger le conducteur.","Volkswagen Golf II 掀背車的左前門。保持駕駛在車內的安全。","Volkswagen Golf II ハッチバックの左前のドア。運転席の人も安全に乗れる。","Porta dianteira esquerda do Volkswagen Golf II. Mantém o motorista seguro dentro do veículo.","Volkswagen Golf II 掀背车的左前车门。可确保车内驾驶员的安全。",
"STR_real_CivHatchbackDoors_CoDriver0","Volkswagen Golf II Front Right Door","Volkswagen Golf II Front Right Door","Pravé přední dveře Volkswagen Golf II","Volkswagen Golf II Tür vorne rechts","Передняя правая дверь Volkswagen Golf II","Przednie prawe drzwi od Volkswagen Golf II","Volkswagen Golf II Front Right Door","Portiera anteriore destra Volkswagen Golf II","Puerta derecha delantera de Volkswagen Golf II","Portière AVD de Volkswagen Golf II","Volkswagen Golf II 右前門","Volkswagen Golf II 右前のドア","Porta dianteira direita Volkswagen Golf II","Volkswagen Golf II 右前车门",
"STR_real_CivHatchbackDoors_CoDriver1","Front right door of the Volkswagen Golf II hatchback. Keeps co-driver safe inside vehicle.","Front right door of the Volkswagen Golf II hatchback. Keeps co-driver safe inside vehicle.","Pravé přední dveře hatchbacku Volkswagen Golf II. Zajišťují bezpečnost spolujezdce uvnitř auta.","Rechte Vordertür der Volkswagen Golf II-Kombilimousine. Verhindert, dass der Beifahrer aus dem Wagen fällt.","Передняя правая дверь хэтчбека Volkswagen Golf II. Обеспечивает безопасность пассажира внутри автомобиля.","Przednie prawe drzwi od hatchbacka Volkswagen Golf II. Dzięki nim drugi kierowca będzie bezpieczny.","Front right door of the Volkswagen Golf II hatchback. Keeps co-driver safe inside vehicle.","La portiera anteriore destra della due volumi Volkswagen Golf II. Mantiene il co-pilota al sicuro all’interno del veicolo.","Puerta derecha delantera del Volkswagen Golf II. Mantiene al copiloto a salvo dentro del vehículo.","Une portière avant droite pour la berline à hayon Volkswagen Golf II. Permet de protéger le passager avant.","Volkswagen Golf II 掀背車的右前門。保持副駕駛在車內的安全。","Volkswagen Golf II ハッチバックの右前のドア。助手席の人も安全に乗れる。","Porta dianteira direita do Volkswagen Golf II. Mantém o copiloto seguro dentro do veículo.","Volkswagen Golf II 掀背车的右前车门。可确保车内副驾驶员的安全。",
