"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_cfgWeapons_real_Vikhr0","SR-3 Vikhr","SR-3 Vikhr","Vichr","SR-3 Vikhr","CP-3 Вихрь","SR-3 Vikhr","SR-3 Vikhr","SR-3 Vikhr","SR-3 Vikhr","SR-3 Vikhr","SR-3 Vikhr","SR-3 Vikhr","SR-3 Vikhr","SR-3 Vikhr",
"STR_cfgWeapons_real_Vikhr1","A compact firearm heavily influenced by the AS Val and VSS. It can carry side-mounted optics but lacks an integral suppressor. Uses 9x39mm rounds.","A compact firearm heavily influenced by the AS Val and VSS. It can carry side-mounted optics but lacks an integral suppressor. Uses 9x39mm rounds.","Kompaktní střelná zbraň konstrukčně ovlivněná zbraněmi AS Val a VSS. Lze na ni připevnit boční optiku, ale nemá integrovaný tlumič. Střílí munici ráže 9x39 mm.","Eine kompakte Schusswaffe, die stark vom AS Val und dem VSS beeinflusst wurde. Sie kann mit einem seitlich montierten Visier ausgestattet werden, besitzt aber keinen integrierten Schalldämpfer. Verschießt 9x39mm-Munition.","Компактное огнестрельное оружие, дизайн которого во много вдохновлен винтовками АС Вал и ВСС. Может оснащаться крепящимся сбоку прицелом, но не имеет встроенного глушителя. Использует патроны калибра 9х39 мм.","Kompaktowa broń palna mocno wzorowana na konstrukcjach karabinów AS Val i VSS. Pozwala na montaż boczny przyrządu optycznego, ale jest pozbawiona wbudowanego tłumika. Wykorzystuje amunicję 9x39 mm.","A compact firearm heavily influenced by the AS Val and VSS. It can carry side-mounted optics but lacks an integral suppressor. Uses 9x39mm rounds.","Un’arma da fuoco compatta dal forte influsso AS Val e VSS. È possibile montarvi le ottiche lateralmente, ma manca il silenziatore integrato. Usa munizioni calibro 9x39 mm.","Un arma de fuego compacta muy semejante a los fusiles ASVAL y VSS. Dispone de acoplamiento lateral para ópticas, pero no de silenciador integrado. Emplea proyectiles de 9x39 mm.","Une arme à feu compacte de calibre 9x39 mm fortement inspirée du AS Val et du VSS. Accueille un viseur à fixation latérale, mais n'a pas de silencieux intégré.","受 AS Val 和 VSS 深刻影響的小巧槍械，槍側可裝配光學瞄具，但並無內建消音器，使用 9x39mm 子彈。","AS Val と VSS から強く影響を受けたコンパクトな銃器。側面取り付け型スコープを搭載できるが、インテグラル・サプレッサーはつけられない。9x39mm 弾薬を使う。","Uma arma de fogo compacta bastante influenciada pelo AS Val e pelo VSS. Ela pode ter miras acopladas lateralmente, mas não possui um supressor integral. Usa munição 9x39mm.","一款受到 AS Val 和 VSS 深度影响的紧凑型枪械；可以配备侧装式光学瞄准镜，但没有内置抑制器；使用 9x39 毫米子弹。",
"STR_cfgWeapons_real_Aug0","Steyr AUG A3","Steyr AUG A3","Steyr AUG A3","Steyr AUG A3","Steyr AUG A3","Steyr AUG A3","Steyr AUG A3","Steyr AUG A3","Steyr AUG A3","Steyr AUG A3","Steyr AUG A3","Steyr AUG A3","Steyr AUG A3","Steyr AUG A3",
"STR_cfgWeapons_real_Aug1","A selective fire bullpup weapon. A modern variant of the STEYR AUG A1. The railing on the top and the magazine docking system have been adapted to work with standard NATO accessories. Uses 5.56x45mm rounds.","A selective fire bullpup weapon. A modern variant of the STEYR AUG A1. The railing on the top and the magazine docking system have been adapted to work with standard NATO accessories. Uses 5.56x45mm rounds.","Puška typu „bullpup“ s možností výběru režimu střelby. Jedná se o moderní variantu pušky STEYR AUG A1. Horní lišta a zásobníková šachta jsou upraveny, aby zbraň fungoVALa se standardním příslušenstvím západních armád. Používá munici 5,56x45 mm.","Eine moderne Bullpup-Variante des STEYR AUG A1 mit selektivem Feuermodus. Die obere Schiene und das Magazin-Haltesystem wurden an westliche Standards angepasst. Verschießt 5,56x45mm-Munition.","Штурмовая винтовка выполненная по схеме булл-пап с переводчиком режимов огня. Современная модификация STEYR AUG A1. Рельсовое крепление и магазинное питание адаптированы для работы со стандартными приспособлениями NATO. Использует патроны калибра 5,56x45 мм.","Bezkolbowa broń z przełącznikiem ognia. Nowoczesny wariant STEYR AUG A1. Górna szyna i system ładowania zostały przystosowane do standardowych zachodnich akcesoriów. Strzela amunicją 5,56x45mm.","A selective fire bullpup weapon. A modern variant of the STEYR AUG A1. The railing on the top and the magazine docking system have been adapted to work with standard western accessories. Uses 5.56x45mm rounds.","Arma di tipo bullpup con selettore di fuoco, variante moderna dell’STEYR AUG A1. La scanalatura superiore e il sistema di alloggiamento del caricatore sono stati adattati per consentire l’impiego dei comuni accessori occidentali. Utilizza munizioni calibro 5.56x45 mm.","Esta arma tipo bullpup de fuego selectivo es una variante moderna del STEYR AUG A1. El riel de la parte superior y el sistema de acoplamiento de cargadores están adaptados para accesorios occidentales estándar. Emplea proyectiles de 5,56x45 mm.","Un fusil d'assaut bullpup à sélecteur de tir de calibre 5,56x45 mm, variante moderne de l'STEYR AUG A1. Grâce à son rail et à son système de chargeur standardisé, il peut accueillir le matériel des forces de l'Ouest.","選射無托式槍械，STEYR AUG A1 的現代型號。上方導軌和彈匣裝設系統經過改裝，可使用西方標準配件。使用 5.56x45mm 彈藥。","セレクティブファイア機能を備えたブルパップ方式の武器。STEYR AUG A1 の近代的なモデル。上部のレーリングとマガジンのドッキングシステムは、西洋の標準的な付属品と使用できるように改良されている。5.56x45mm 弾薬を使う。","Uma arma de fogo seletivo com configuração bullpup. Variante moderna do STEYR AUG A1. O trilho superior e o sistema de encaixe do carregador foram adaptados para funcionar com acessórios ocidentais padrão. Usa munições calibre 5.56x45mm.","一把击发调变式无托式枪械，是 STEYR AUG A1 的现代改进款。其顶部的导轨以及下方的弹匣对接系统经过改装，能够适配标准的西方部队配件。使用 5.56x45 毫米的子弹。",
"STR_cfgWeapons_real_AugShort0","Steyr AUG A1","Steyr AUG A1","Steyr AUG A1","Steyr AUG A1","Steyr AUG A1","Steyr AUG A1","Steyr AUG A1","Steyr AUG A1","Steyr AUG A1","Steyr AUG A1","Steyr AUG A1","Steyr AUG A1","Steyr AUG A1","Steyr AUG A1",
"STR_cfgWeapons_real_AugShort1","A selective fire bullpup weapon. The compact design and the short barrel make the weapon suitable for CQB. It's fed by a dedicated magazine. Uses 5.56x45mm rounds.","A selective fire bullpup weapon. The compact design and the short barrel make the weapon suitable for CQB. It's fed by a dedicated magazine. Uses 5.56x45mm rounds.","Puška typu „bullpup“ s možností výběru režimu střelby. Zbraň je díky kompaktnímu designu a krátké hlavni vhodná do boje v uzavřených prostorách. Používá munici 5,56x45 mm.","Bullpup-Sturmgewehr mit selektivem Feuermodus und kompaktem Design. Dank des kurzen Laufs zeichnet sich diese Waffe vor allem im Kampf auf kurze Distanz aus. Verschießt 5,56x45mm-Munition über ein dediziertes Magazin.","Штурмовая винтовка выполненная по схеме булл-пап с переводчиком режимов огня. Компактная конструкция и короткий ствол делают ее особенно удобной в бою на коротких дистанциях. Питание осуществляется из специального съемного магазина. Использует патроны калибра 5,56x45 мм.","Bezkolbowa broń z przełącznikiem ognia. Kompaktowa budowa i krótka lufa sprawiają, że idealnie nadaje się do walk w zwarciu. Korzysta ze specjalnego magazynka. Strzela amunicją 5,56x45mm.","A selective fire bullpup weapon. The compact design and the short barrel make the weapon suitable for CQB. It's fed by a dedicated magazine. Uses 5.56x45mm rounds.","Arma di tipo bullpup con selettore di fuoco. Il design compatto e la canna corta la rendono ottima per il combattimento a distanza ravvicinata. È alimentata da un caricatore dedicato. Utilizza munizioni calibro 5.56x45 mm.","Un arma tipo bullpup de fuego selectivo. Su diseño compacto y cañón corto la habilitan para combate en espacios cerrados. Emplea un cargador dedicado con proyectiles de 5,56x45 mm.","Un fusil d'assaut bullpup à sélecteur de tir de calibre 5,56x45 mm, utilisant des chargeurs spéciaux. Son design compact et son canon court en font une arme idéale pour le combat rapproché.","選射無托式槍械，小巧設計和短槍管適合近距離作戰，使用專用彈匣供彈。使用專用 5.56x45mm 彈藥。","セレクティブファイア機能を備えたブルパップ方式の武器。コンパクトな設計と短い銃身のため、CQB に適した武器。専用のマガジンで 5.56x45mm の弾薬を使う。","Uma arma de fogo seletivo com configuração bullpup. Seu design compacto e barril curto a tornam adequada para combate em ambientes confinados. Ela é alimentada por um carregador dedicado. Usa munições calibre 5.56x45mm.","一把击发调变式无托式枪械，具有紧凑型设计和短枪管，适合于室内近距离作战。它采用专用弹匣供弹，并使用 5.56x45 毫米的子弹。",
"STR_cfgWeapons_real_B950","Blaser B97","Blaser B97","Blaser B97","Blaser B97","Blaser B97","Blaser B97","Blaser B97","Blaser B97","Blaser B97","Blaser B97","Blaser B97","Blaser B97","Blaser B97","Blaser B97",
"STR_cfgWeapons_real_B951","Double-barreled break-action rifle loaded with two .308 WIN rounds.","Double-barreled break-action rifle loaded with two .308 WIN rounds.","Dvojhlavňová zlamovací puška, kterou je možno nabít dvěma náboji ráže .308 WIN.","Doppelläufiges Kipplaufgewehr – geladen mit zwei .308 WIN-Patronen.","Двуствольная винтовка с переломным затвором, снаряжается двумя патронами калибра .308 WIN.","Sztucer łamany z podwójną lufą, ładowany dwoma nabojami .308 WIN.","Double-barreled break-action rifle loaded with two .308 WIN rounds.","Fucile basculante a doppia canna caricato con due munizioni calibro .308 WIN.","Un fusil de doble cañón basculante que dispara dos proyectiles .308 WIN.","Fusil double canon à chargement entièrement manuel, avec deux balles .308 WIN.","雙管中折式步槍，使用雙發口徑 0.308 WIN 的彈藥。",".308 WIN 弾薬を 2 発装填した二連式の中折式ライフル。","Fuzil de cano duplo com ação basculante e duas munições calibre WIN .308.","双管中折式步枪，使用双发口径0.308 WIN的弹药。",
"STR_cfgWeapons_real_Colt19110","Colt M1911","Colt M1911","Colt M1911","Colt M1911","М1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911",
"STR_cfgWeapons_real_Colt19111","Semi-automatic pistol, fed from a detachable magazine. Almost a century-old design, it can still hold its own in a fight. Uses .45 ACP rounds.","Semi-automatic pistol, fed from a detachable magazine. Almost a century-old design, it can still hold its own in a fight. Uses .45 ACP rounds.","Poloautomatická pistole s municí dodávanou odnímatelným zásobníkem. Téměř sto let starý model, který se však v boji neztratí ani dnes. Používá munici .45 ACP.","Halbautomatische Pistole mit abnehmbarem Magazin. Trotz seines bald einhundert Jahre alten Designs ist diese Waffe nach wie vor sehr beliebt. Nutzt .45 ACP-Munition.","Полуавтоматический пистолет со съемным магазином. Его конструкции уже больше ста лет, но он все еще может использоваться в бою. Использует патроны калибра .45 ACP.","Półautomatyczny pistolet z zewnętrznym magazynkiem. Zaprojektowany prawie wiek temu wciąż dobrze sprawdza się w walce. Strzela amunicją .45 ACP.","Semi-automatic pistol, fed from a detachable magazine. Almost a century-old design, it can still hold its own in a fight. Uses .45 ACP rounds.","Pistola semi-automatica con alimentazione mediante un caricatore estraibile. Dal design quasi centenario, sa ancora farsi VALere in combattimento. Utilizza munizioni calibro .45 ACP.","Una pistola semiautomática con cargador desmontable. Es un diseño de hace casi un siglo, pero sigue dándolo todo en combate. Emplea proyectiles .45 ACP.","Un pistolet semi-automatique avec chargeur amovible de calibre .45 ACP. Conçu il y a plus d'un siècle, il a néanmoins encore sa place dans votre arsenal.","半自動手槍，使用可拆卸式彈匣送彈。幾乎一個世紀的舊版設計，但依然頗具戰力。使用 .45 ACP 子彈。","取り外し可能なマガジンから装填する、セミオート式ピストル。ほぼ 1 世紀前のデザインだが、今でも戦闘で活躍してくれる。.45 ACP 弾薬を使う。","Pistola semiautomática, alimentada a partir de um carregador destacável. Com um design quase centenário, ela ainda dá conta de uma batalha. Usa munições calibre .45 ACP.","使用可拆卸弹匣送弹的半自动手枪。这款手枪设计于近一个世纪之前，但它在战斗中仍旧威风不减。使用.45 ACP子弹。",
"STR_cfgWeapons_real_CZ5270","CZ 527","CZ 527","CZ 527","CZ 527","CZ 527","CZ 527","CZ 527","CZ 527","CZ 527","CZ 527","CZ 527","CZ 527","CZ 527","CZ 527",
"STR_cfgWeapons_real_CZ5271","A bolt-action hunting rifle, fed from a detachable magazine. It is light and accurate at intermediate ranges. Uses 7.62x39mm rounds.","A bolt-action hunting rifle, fed from a detachable magazine. It is light and accurate at intermediate ranges. Uses 7.62x39mm rounds.","Opakovací lovecká puška, munice dodávána odnímatelným zásobníkem. Je lehká a na střední vzdálenost přesná. Používá munici 7,62x39 mm.","Ein Repetier-Jagdgewehr mit abnehmbarem Magazin. Leicht und präzise auf mittelgroße Reichweite. Nutzt 7.62x39mm-Munition.","Охотничья винтовка с продольно-скользящим затвором и съемным магазином. Легкая и точная при стрельбе на средние дистанции. Использует патроны калибра 7,62x39 мм.","Samopowtarzalny karabin z magazynkiem zewnętrznym. Lekki i celny na średnich dystansach. Strzela amunicją 7,62x39 mm.","A bolt-action hunting rifle, fed from a detachable magazine. It is light and accurate at intermediate ranges. Uses 7.62x39mm rounds.","Fucile da caccia a otturatore girevole-scorrevole con alimentazione mediante un caricatore estraibile. È leggero e preciso a medio raggio. Utilizza munizioni calibro 7.62x39 mm.","Un fusil de caza con recarga de cerrojo, que se alimenta de un cargador desmontable. Es ligero y preciso a media distancia. Usa proyectiles de 7,62x39 mm.","Un fusil de chasse à verrou de calibre 7,62x39 mm avec chargeur détachable. Léger et précis à une distance intermédiaire.","栓動狩獵步槍，以可拆卸的彈匣供彈。造型輕巧，在中距離時非常準確。使用 7.62x39mm 子彈。","取り外し可能なマガジンから装填する、ボルトアクション式狩猟用ライフル。軽量で中距離でも正確に撃ち抜ける。7.62x39mm 弾薬を使う。","Um fuzil de ferrolho de caça, alimentado por um carregador destacável. É leve e preciso em distâncias intermediárias. Usa munições calibre 7.62x39mm.","一种栓式猎枪，从可拆卸弹匣送弹。它轻便、精确，中等射程。使用 7.62x39mm 子弹。",
"STR_cfgWeapons_real_CZ5500","CZ 550 Varmint","CZ 550 Varmint","CZ 550 Varmint","CZ 550 Varmint","CZ 550 Varmint","CZ 550 Varmint","CZ 550 Varmint","CZ 550 Varmint","CZ 550 Varmint","CZ 550 Varmint","CZ 550 Varmint","CZ 550 Varmint","CZ 550 Varmint","CZ 550 Varmint",
"STR_cfgWeapons_real_CZ5501","A bolt-action hunting rifle, fed from a detachable magazine. Sturdy and built to last. Uses .308 WIN rounds.","A bolt-action hunting rifle, fed from a detachable magazine. Sturdy and built to last. Uses .308 WIN rounds.","Opakovací lovecká puška s municí v odnímatelných zásobnících. Je odolná a dělaná tak, aby leccos vydržela. Používá munici ráže .308 WIN.","Ein Repetier-Jagdgewehr mit abnehmbarem Magazin. Robust und langlebig. Nutzt .308-WIN-Munition.","Охотничья винтовка с продольно-скользящим затвором и съемным магазином. Прочная и долговечная. Использует патроны калибра .308 WIN.","Samopowtarzalny karabin myśliwski z magazynkiem zewnętrznym. Solidny i wytrzymały. Strzela amunicją .308 WIN.","A bolt-action hunting rifle, fed from a detachable magazine. Sturdy and built to last. Uses .308 WIN rounds.","Fucile da caccia a otturatore girevole-scorrevole con alimentazione mediante un caricatore estraibile. È robusto e costruito per durare a lungo. Utilizza munizioni calibro .308 WIN.","Un fusil de caza con recarga de cerrojo que emplea un cargador desmontable. Es resistente y está hecho para durar. Usa proyectiles de .308 WIN.","Un fusil de chasse à verrou de calibre .308 WIN avec chargeur amovible. Conçu pour durer.","栓動狩獵步槍，以可拆卸的彈匣供彈。結實耐用。使用 .308 WIN 子彈。","着脱式マガジンから装填する、ボルトアクション式狩猟用ライフル。長持ちするように丈夫に作られている。.308 WIN 弾薬を使う。","Um fuzil de ferrolho de caça, alimentado por um carregador destacável. Robusto e com grande durabilidade. Usa munições calibre .308 WIN.","一种由可拆卸弹匣供弹的栓动式猎枪。猎枪坚固且经久耐用，使用 .308 WIN 子弹。",
"STR_cfgWeapons_real_CZ610","CZ Vz. 64 Skorpion","CZ Vz. 64 Skorpion","CZ Vz. 64 Skorpion","CZ Vz. 64 Skorpion","CZ Vz. 64 Skorpion","CZ Vz. 64 Skorpion","CZ Vz. 64 Skorpion","CZ Vz. 64 Skorpion","CZ Vz. 64 Skorpion","CZ Vz. 64 Skorpion","CZ Vz. 64 Skorpion","CZ Vz. 64 Skorpion","CZ Vz. 64 Skorpion","CZ Vz. 64 Skorpion",
